value,source_id,notes_ids,iso3,Income_saving,Country__ESTANDAR,Years__ESTANDAR
17339.99219,,,BOL,Gross domestic product,Bolivia (Plurinational State of),2009
19650.64858,,,BOL,Gross domestic product,Bolivia (Plurinational State of),2010
23967.71113,,,BOL,Gross domestic product,Bolivia (Plurinational State of),2011
27084.49748,,,BOL,Gross domestic product,Bolivia (Plurinational State of),2012
30659.33888,,,BOL,Gross domestic product,Bolivia (Plurinational State of),2013
32996.18801,,,BOL,Gross domestic product,Bolivia (Plurinational State of),2014
33000.19825,,,BOL,Gross domestic product,Bolivia (Plurinational State of),2015
33941.1262,,,BOL,Gross domestic product,Bolivia (Plurinational State of),2016
37508.64217,,,BOL,Gross domestic product,Bolivia (Plurinational State of),2017
40287.64793,,,BOL,Gross domestic product,Bolivia (Plurinational State of),2018
433766.5603,,,BRA,Gross domestic product,Brazil,1990
380349.3252,,,BRA,Gross domestic product,Brazil,1991
364339.5518,,,BRA,Gross domestic product,Brazil,1992
408865.476,,,BRA,Gross domestic product,Brazil,1993
583242.0774,,,BRA,Gross domestic product,Brazil,1994
781735.7924,,,BRA,Gross domestic product,Brazil,1995
852547.8778,,,BRA,Gross domestic product,Brazil,1996
885061.6105,,,BRA,Gross domestic product,Brazil,1997
857698.5334,,,BRA,Gross domestic product,Brazil,1998
596913.8466,,,BRA,Gross domestic product,Brazil,1999
655120.9824,,,BRA,Gross domestic product,Brazil,2000
563308.3429,,,BRA,Gross domestic product,Brazil,2001
520753.9224,,,BRA,Gross domestic product,Brazil,2002
563348.8063,,,BRA,Gross domestic product,Brazil,2003
670507.6417,,,BRA,Gross domestic product,Brazil,2004
898328.8391,,,BRA,Gross domestic product,Brazil,2005
1108217.125,,,BRA,Gross domestic product,Brazil,2006
1406376.914,,,BRA,Gross domestic product,Brazil,2007
1720781.45,,,BRA,Gross domestic product,Brazil,2008
1700075.498,,,BRA,Gross domestic product,Brazil,2009
2213404.152,,,BRA,Gross domestic product,Brazil,2010
2618377.273,,,BRA,Gross domestic product,Brazil,2011
2467733.598,,,BRA,Gross domestic product,Brazil,2012
2475425.112,,,BRA,Gross domestic product,Brazil,2013
2460129.079,,,BRA,Gross domestic product,Brazil,2014
1822107.573,,,BRA,Gross domestic product,Brazil,2015
1808852.107,,,BRA,Gross domestic product,Brazil,2016
2063199.896,,,BRA,Gross domestic product,Brazil,2017
1924179.664,,,BRA,Gross domestic product,Brazil,2018
34748.05252,,,CHL,Gross domestic product,Chile,1990
39707.31701,,,CHL,Gross domestic product,Chile,1991
47994.39482,,,CHL,Gross domestic product,Chile,1992
50964.68535,,,CHL,Gross domestic product,Chile,1993
58350.71276,,,CHL,Gross domestic product,Chile,1994
74732.9516,,,CHL,Gross domestic product,Chile,1995
78557.21097,,,CHL,Gross domestic product,Chile,1996
85704.50951,,,CHL,Gross domestic product,Chile,1997
82040.98772,,,CHL,Gross domestic product,Chile,1998
75604.1488,,,CHL,Gross domestic product,Chile,1999
78305.99976,,,CHL,Gross domestic product,Chile,2000
71805.29772,,,CHL,Gross domestic product,Chile,2001
70317.11406,,,CHL,Gross domestic product,Chile,2002
76974.85217,,,CHL,Gross domestic product,Chile,2003
99221.18328,,,CHL,Gross domestic product,Chile,2004
122757.4748,,,CHL,Gross domestic product,Chile,2005
153859.7691,,,CHL,Gross domestic product,Chile,2006
172823.466,,,CHL,Gross domestic product,Chile,2007
182717.38,,,CHL,Gross domestic product,Chile,2008
172474.2075,,,CHL,Gross domestic product,Chile,2009
217919.7569,,,CHL,Gross domestic product,Chile,2010
251154.03,,,CHL,Gross domestic product,Chile,2011
267329.9933,,,CHL,Gross domestic product,Chile,2012
277325.3752,,,CHL,Gross domestic product,Chile,2013
259393.5805,,,CHL,Gross domestic product,Chile,2014
242923.9561,,,CHL,Gross domestic product,Chile,2015
249456.9796,,,CHL,Gross domestic product,Chile,2016
276623.4201,,,CHL,Gross domestic product,Chile,2017
295898.3866,,,CHL,Gross domestic product,Chile,2018
56676.58279,,,COL,Gross domestic product,Colombia,1990
58254.21925,,,COL,Gross domestic product,Colombia,1991
61986.68119,,,COL,Gross domestic product,Colombia,1992
71746.03136,,,COL,Gross domestic product,Colombia,1993
94692.9189,,,COL,Gross domestic product,Colombia,1994
109579.71,,,COL,Gross domestic product,Colombia,1995
115081.5973,,,COL,Gross domestic product,Colombia,1996
126363.1694,,,COL,Gross domestic product,Colombia,1997
116699.3773,,,COL,Gross domestic product,Colombia,1998
102233.2202,,,COL,Gross domestic product,Colombia,1999
99230.39679,,,COL,Gross domestic product,Colombia,2000
97577.13257,,,COL,Gross domestic product,Colombia,2001
97329.99104,,,COL,Gross domestic product,Colombia,2002
94029.83197,,,COL,Gross domestic product,Colombia,2003
116324.9718,,,COL,Gross domestic product,Colombia,2004
145725.6264,,,COL,Gross domestic product,Colombia,2005
161756.2206,,,COL,Gross domestic product,Colombia,2006
206739.5832,,,COL,Gross domestic product,Colombia,2007
243652.8357,,,COL,Gross domestic product,Colombia,2008
234906.6629,,,COL,Gross domestic product,Colombia,2009
287056.7073,,,COL,Gross domestic product,Colombia,2010
335032.8064,,,COL,Gross domestic product,Colombia,2011
370890.5303,,,COL,Gross domestic product,Colombia,2012
381965.5272,,,COL,Gross domestic product,Colombia,2013
381672.3655,,,COL,Gross domestic product,Colombia,2014
294849.3377,,,COL,Gross domestic product,Colombia,2015
283502.8096,,,COL,Gross domestic product,Colombia,2016
311783.5598,,,COL,Gross domestic product,Colombia,2017
334246.2337,,,COL,Gross domestic product,Colombia,2018
7288.279838,,,CRI,Gross domestic product,Costa Rica,1990
7209.656657,,,CRI,Gross domestic product,Costa Rica,1991
8560.926379,,,CRI,Gross domestic product,Costa Rica,1992
9571.257778,,,CRI,Gross domestic product,Costa Rica,1993
10484.71938,,,CRI,Gross domestic product,Costa Rica,1994
11578.84357,,,CRI,Gross domestic product,Costa Rica,1995
11677.28513,,,CRI,Gross domestic product,Costa Rica,1996
12607.84011,,,CRI,Gross domestic product,Costa Rica,1997
13676.80372,,,CRI,Gross domestic product,Costa Rica,1998
14246.06293,,,CRI,Gross domestic product,Costa Rica,1999
15008.71764,,,CRI,Gross domestic product,Costa Rica,2000
15969.53879,,,CRI,Gross domestic product,Costa Rica,2001
16571.36529,,,CRI,Gross domestic product,Costa Rica,2002
17261.24241,,,CRI,Gross domestic product,Costa Rica,2003
18596.7743,,,CRI,Gross domestic product,Costa Rica,2004
20028.87461,,,CRI,Gross domestic product,Costa Rica,2005
22700.99846,,,CRI,Gross domestic product,Costa Rica,2006
26895.94195,,,CRI,Gross domestic product,Costa Rica,2007
30817.65403,,,CRI,Gross domestic product,Costa Rica,2008
30749.17528,,,CRI,Gross domestic product,Costa Rica,2009
37713.13496,,,CRI,Gross domestic product,Costa Rica,2010
42755.48771,,,CRI,Gross domestic product,Costa Rica,2011
47239.04891,,,CRI,Gross domestic product,Costa Rica,2012
50949.05281,,,CRI,Gross domestic product,Costa Rica,2013
52038.91226,,,CRI,Gross domestic product,Costa Rica,2014
56441.72462,,,CRI,Gross domestic product,Costa Rica,2015
58831.07044,,,CRI,Gross domestic product,Costa Rica,2016
60528.2974,,,CRI,Gross domestic product,Costa Rica,2017
62439.49289,,,CRI,Gross domestic product,Costa Rica,2018
15231.973,,,ECU,Gross domestic product,Ecuador,1990
16980.041,,,ECU,Gross domestic product,Ecuador,1991
18085.191,,,ECU,Gross domestic product,Ecuador,1992
18929.248,,,ECU,Gross domestic product,Ecuador,1993
22697.319,,,ECU,Gross domestic product,Ecuador,1994
24420.668,,,ECU,Gross domestic product,Ecuador,1995
25213.78,,,ECU,Gross domestic product,Ecuador,1996
28147.972,,,ECU,Gross domestic product,Ecuador,1997
27967.906,,,ECU,Gross domestic product,Ecuador,1998
19635.45,,,ECU,Gross domestic product,Ecuador,1999
18318.601,,,ECU,Gross domestic product,Ecuador,2000
24468.324,,,ECU,Gross domestic product,Ecuador,2001
28548.945,,,ECU,Gross domestic product,Ecuador,2002
32432.858,,,ECU,Gross domestic product,Ecuador,2003
36591.661,,,ECU,Gross domestic product,Ecuador,2004
41507.085,,,ECU,Gross domestic product,Ecuador,2005
46802.044,,,ECU,Gross domestic product,Ecuador,2006
51007.777,,,ECU,Gross domestic product,Ecuador,2007
61762.635,,,ECU,Gross domestic product,Ecuador,2008
62519.686,,,ECU,Gross domestic product,Ecuador,2009
69555.367,,,ECU,Gross domestic product,Ecuador,2010
79276.664,,,ECU,Gross domestic product,Ecuador,2011
87924.544,,,ECU,Gross domestic product,Ecuador,2012
95129.659,,,ECU,Gross domestic product,Ecuador,2013
101726.331,,,ECU,Gross domestic product,Ecuador,2014
99290.381,,,ECU,Gross domestic product,Ecuador,2015
99937.696,,,ECU,Gross domestic product,Ecuador,2016
104295.862,,,ECU,Gross domestic product,Ecuador,2017
107562.008,,,ECU,Gross domestic product,Ecuador,2018
4817.542204,,,SLV,Gross domestic product,El Salvador,1990
5252.342352,,,SLV,Gross domestic product,El Salvador,1991
5813.399327,,,SLV,Gross domestic product,El Salvador,1992
6680.269152,,,SLV,Gross domestic product,El Salvador,1993
7679.384019,,,SLV,Gross domestic product,El Salvador,1994
8921.947111,,,SLV,Gross domestic product,El Salvador,1995
9586.327762,,,SLV,Gross domestic product,El Salvador,1996
10221.70588,,,SLV,Gross domestic product,El Salvador,1997
10936.66991,,,SLV,Gross domestic product,El Salvador,1998
11284.19695,,,SLV,Gross domestic product,El Salvador,1999
11784.92767,,,SLV,Gross domestic product,El Salvador,2000
12282.5336,,,SLV,Gross domestic product,El Salvador,2001
12664.19027,,,SLV,Gross domestic product,El Salvador,2002
13243.89217,,,SLV,Gross domestic product,El Salvador,2003
13724.81092,,,SLV,Gross domestic product,El Salvador,2004
14698.0,,,SLV,Gross domestic product,El Salvador,2005
15999.89,,,SLV,Gross domestic product,El Salvador,2006
17011.75,,,SLV,Gross domestic product,El Salvador,2007
17986.89,,,SLV,Gross domestic product,El Salvador,2008
17601.62,,,SLV,Gross domestic product,El Salvador,2009
18447.92,,,SLV,Gross domestic product,El Salvador,2010
20283.78,,,SLV,Gross domestic product,El Salvador,2011
21386.15,,,SLV,Gross domestic product,El Salvador,2012
21990.96,,,SLV,Gross domestic product,El Salvador,2013
22593.47,,,SLV,Gross domestic product,El Salvador,2014
23438.24,,,SLV,Gross domestic product,El Salvador,2015
24191.43,,,SLV,Gross domestic product,El Salvador,2016
24979.19,,,SLV,Gross domestic product,El Salvador,2017
26020.85,,,SLV,Gross domestic product,El Salvador,2018
7191.68391,,,GTM,Gross domestic product,Guatemala,1990
8842.384587,,,GTM,Gross domestic product,Guatemala,1991
9815.003796,,,GTM,Gross domestic product,Guatemala,1992
10716.76536,,,GTM,Gross domestic product,Guatemala,1993
12205.09843,,,GTM,Gross domestic product,Guatemala,1994
13777.66012,,,GTM,Gross domestic product,Guatemala,1995
14836.91551,,,GTM,Gross domestic product,Guatemala,1996
16719.47756,,,GTM,Gross domestic product,Guatemala,1997
18232.31814,,,GTM,Gross domestic product,Guatemala,1998
17219.80027,,,GTM,Gross domestic product,Guatemala,1999
18132.86606,,,GTM,Gross domestic product,Guatemala,2000
19719.96541,,,GTM,Gross domestic product,Guatemala,2001
21927.12667,,,GTM,Gross domestic product,Guatemala,2002
23083.85264,,,GTM,Gross domestic product,Guatemala,2003
24997.93413,,,GTM,Gross domestic product,Guatemala,2004
28186.03192,,,GTM,Gross domestic product,Guatemala,2005
31307.10127,,,GTM,Gross domestic product,Guatemala,2006
35033.6699,,,GTM,Gross domestic product,Guatemala,2007
40258.04593,,,GTM,Gross domestic product,Guatemala,2008
37987.55919,,,GTM,Gross domestic product,Guatemala,2009
41507.43061,,,GTM,Gross domestic product,Guatemala,2010
47437.77537,,,GTM,Gross domestic product,Guatemala,2011
49903.38041,,,GTM,Gross domestic product,Guatemala,2012
52993.87176,,,GTM,Gross domestic product,Guatemala,2013
57868.58937,,,GTM,Gross domestic product,Guatemala,2014
62187.83013,,,GTM,Gross domestic product,Guatemala,2015
66073.98549,,,GTM,Gross domestic product,Guatemala,2016
71655.69425,,,GTM,Gross domestic product,Guatemala,2017
73326.61683,,,GTM,Gross domestic product,Guatemala,2018
3647.920415,,,HND,Gross domestic product,Honduras,1990
3660.636545,,,HND,Gross domestic product,Honduras,1991
4041.173726,,,HND,Gross domestic product,Honduras,1992
4161.056761,,,HND,Gross domestic product,Honduras,1993
4056.603926,,,HND,Gross domestic product,Honduras,1994
4703.872345,,,HND,Gross domestic product,Honduras,1995
4831.032699,,,HND,Gross domestic product,Honduras,1996
5619.167369,,,HND,Gross domestic product,Honduras,1997
6267.547987,,,HND,Gross domestic product,Honduras,1998
6475.058735,,,HND,Gross domestic product,Honduras,1999
7186.942706,,,HND,Gross domestic product,Honduras,2000
7649.129126,,,HND,Gross domestic product,Honduras,2001
7855.129937,,,HND,Gross domestic product,Honduras,2002
8226.708403,,,HND,Gross domestic product,Honduras,2003
8866.142807,,,HND,Gross domestic product,Honduras,2004
9756.28446,,,HND,Gross domestic product,Honduras,2005
10917.47767,,,HND,Gross domestic product,Honduras,2006
12361.25768,,,HND,Gross domestic product,Honduras,2007
13881.71084,,,HND,Gross domestic product,Honduras,2008
14587.49623,,,HND,Gross domestic product,Honduras,2009
15839.34459,,,HND,Gross domestic product,Honduras,2010
17707.75615,,,HND,Gross domestic product,Honduras,2011
18528.8838,,,HND,Gross domestic product,Honduras,2012
18498.16462,,,HND,Gross domestic product,Honduras,2013
19747.18106,,,HND,Gross domestic product,Honduras,2014
20975.77842,,,HND,Gross domestic product,Honduras,2015
21707.4539,,,HND,Gross domestic product,Honduras,2016
23134.82595,,,HND,Gross domestic product,Honduras,2017
24060.86573,,,HND,Gross domestic product,Honduras,2018
345438.4012,,,MEX,Gross domestic product,Mexico,1990
413472.765,,,MEX,Gross domestic product,Mexico,1991
478111.7492,,,MEX,Gross domestic product,Mexico,1992
530130.3394,,,MEX,Gross domestic product,Mexico,1993
553633.7279,,,MEX,Gross domestic product,Mexico,1994
379982.9349,,,MEX,Gross domestic product,Mexico,1995
431798.6601,,,MEX,Gross domestic product,Mexico,1996
523205.5339,,,MEX,Gross domestic product,Mexico,1997
558421.2234,,,MEX,Gross domestic product,Mexico,1998
632182.2876,,,MEX,Gross domestic product,Mexico,1999
742087.735,,,MEX,Gross domestic product,Mexico,2000
796575.0319,,,MEX,Gross domestic product,Mexico,2001
811011.9056,,,MEX,Gross domestic product,Mexico,2002
765811.3229,,,MEX,Gross domestic product,Mexico,2003
819310.9521,,,MEX,Gross domestic product,Mexico,2004
918329.2876,,,MEX,Gross domestic product,Mexico,2005
1020180.236,,,MEX,Gross domestic product,Mexico,2006
1102598.49,,,MEX,Gross domestic product,Mexico,2007
1171717.209,,,MEX,Gross domestic product,Mexico,2008
945690.2966,,,MEX,Gross domestic product,Mexico,2009
1106055.556,,,MEX,Gross domestic product,Mexico,2010
1230139.814,,,MEX,Gross domestic product,Mexico,2011
1255634.788,,,MEX,Gross domestic product,Mexico,2012
1327448.299,,,MEX,Gross domestic product,Mexico,2013
1364590.46,,,MEX,Gross domestic product,Mexico,2014
1214462.535,,,MEX,Gross domestic product,Mexico,2015
1112205.254,,,MEX,Gross domestic product,Mexico,2016
1193941.999,,,MEX,Gross domestic product,Mexico,2017
1256192.513,,,MEX,Gross domestic product,Mexico,2018
3655.547592,,,NIC,Gross domestic product,Nicaragua,1990
3666.016668,,,NIC,Gross domestic product,Nicaragua,1991
3887.441513,,,NIC,Gross domestic product,Nicaragua,1992
4147.173905,,,NIC,Gross domestic product,Nicaragua,1993
3861.533087,,,NIC,Gross domestic product,Nicaragua,1994
4131.914475,,,NIC,Gross domestic product,Nicaragua,1995
4308.096581,,,NIC,Gross domestic product,Nicaragua,1996
4389.973381,,,NIC,Gross domestic product,Nicaragua,1997
4635.347582,,,NIC,Gross domestic product,Nicaragua,1998
4856.026308,,,NIC,Gross domestic product,Nicaragua,1999
5109.587241,,,NIC,Gross domestic product,Nicaragua,2000
5351.752227,,,NIC,Gross domestic product,Nicaragua,2001
5223.727268,,,NIC,Gross domestic product,Nicaragua,2002
5322.228292,,,NIC,Gross domestic product,Nicaragua,2003
5792.932782,,,NIC,Gross domestic product,Nicaragua,2004
6321.324529,,,NIC,Gross domestic product,Nicaragua,2005
6760.687624,,,NIC,Gross domestic product,Nicaragua,2006
7418.787756,,,NIC,Gross domestic product,Nicaragua,2007
8494.140439,,,NIC,Gross domestic product,Nicaragua,2008
8296.153704,,,NIC,Gross domestic product,Nicaragua,2009
8752.837561,,,NIC,Gross domestic product,Nicaragua,2010
9767.473535,,,NIC,Gross domestic product,Nicaragua,2011
10527.57631,,,NIC,Gross domestic product,Nicaragua,2012
10980.85219,,,NIC,Gross domestic product,Nicaragua,2013
11875.13881,,,NIC,Gross domestic product,Nicaragua,2014
12750.75246,,,NIC,Gross domestic product,Nicaragua,2015
13282.1637,,,NIC,Gross domestic product,Nicaragua,2016
13782.925,,,NIC,Gross domestic product,Nicaragua,2017
13028.5323,,,NIC,Gross domestic product,Nicaragua,2018
6775.832752,,,PAN,Gross domestic product,Panama,1990
7450.584899,,,PAN,Gross domestic product,Panama,1991
8469.663412,,,PAN,Gross domestic product,Panama,1992
9249.243808,,,PAN,Gross domestic product,Panama,1993
9862.909908,,,PAN,Gross domestic product,Panama,1994
10082.51361,,,PAN,Gross domestic product,Panama,1995
10394.95791,,,PAN,Gross domestic product,Panama,1996
11244.61845,,,PAN,Gross domestic product,Panama,1997
12190.5442,,,PAN,Gross domestic product,Panama,1998
12774.78719,,,PAN,Gross domestic product,Panama,1999
12957.88813,,,PAN,Gross domestic product,Panama,2000
13166.30179,,,PAN,Gross domestic product,Panama,2001
13684.75675,,,PAN,Gross domestic product,Panama,2002
14421.60425,,,PAN,Gross domestic product,Panama,2003
15811.1104,,,PAN,Gross domestic product,Panama,2004
17244.43936,,,PAN,Gross domestic product,Panama,2005
19109.19432,,,PAN,Gross domestic product,Panama,2006
22071.59311,,,PAN,Gross domestic product,Panama,2007
26072.07774,,,PAN,Gross domestic product,Panama,2008
28104.23611,,,PAN,Gross domestic product,Panama,2009
30512.51872,,,PAN,Gross domestic product,Panama,2010
35949.51739,,,PAN,Gross domestic product,Panama,2011
41902.20779,,,PAN,Gross domestic product,Panama,2012
47260.76393,,,PAN,Gross domestic product,Panama,2013
51739.62709,,,PAN,Gross domestic product,Panama,2014
56061.76689,,,PAN,Gross domestic product,Panama,2015
60016.72261,,,PAN,Gross domestic product,Panama,2016
64468.17887,,,PAN,Gross domestic product,Panama,2017
67294.16923,,,PAN,Gross domestic product,Panama,2018
5884.398495,,,PRY,Gross domestic product,Paraguay,1990
6984.455604,,,PRY,Gross domestic product,Paraguay,1991
7157.622814,,,PRY,Gross domestic product,Paraguay,1992
7249.343136,,,PRY,Gross domestic product,Paraguay,1993
7865.668981,,,PRY,Gross domestic product,Paraguay,1994
9060.442518,,,PRY,Gross domestic product,Paraguay,1995
9780.172878,,,PRY,Gross domestic product,Paraguay,1996
9958.182742,,,PRY,Gross domestic product,Paraguay,1997
9251.567534,,,PRY,Gross domestic product,Paraguay,1998
8823.464029,,,PRY,Gross domestic product,Paraguay,1999
8850.852983,,,PRY,Gross domestic product,Paraguay,2000
8517.83236,,,PRY,Gross domestic product,Paraguay,2001
7235.682426,,,PRY,Gross domestic product,Paraguay,2002
7736.81559,,,PRY,Gross domestic product,Paraguay,2003
9625.957503,,,PRY,Gross domestic product,Paraguay,2004
10745.57771,,,PRY,Gross domestic product,Paraguay,2005
13487.4339,,,PRY,Gross domestic product,Paraguay,2006
17907.08325,,,PRY,Gross domestic product,Paraguay,2007
24711.68374,,,PRY,Gross domestic product,Paraguay,2008
22396.79057,,,PRY,Gross domestic product,Paraguay,2009
27119.12279,,,PRY,Gross domestic product,Paraguay,2010
33779.52152,,,PRY,Gross domestic product,Paraguay,2011
33299.97067,,,PRY,Gross domestic product,Paraguay,2012
38704.85073,,,PRY,Gross domestic product,Paraguay,2013
40365.78212,,,PRY,Gross domestic product,Paraguay,2014
36296.97883,,,PRY,Gross domestic product,Paraguay,2015
36098.28197,,,PRY,Gross domestic product,Paraguay,2016
38992.2393,,,PRY,Gross domestic product,Paraguay,2017
40238.98519,,,PRY,Gross domestic product,Paraguay,2018
29279.80339,,,PER,Gross domestic product,Peru,1990
34545.02682,,,PER,Gross domestic product,Peru,1991
36083.61277,,,PER,Gross domestic product,Peru,1992
34834.88573,,,PER,Gross domestic product,Peru,1993
44910.70615,,,PER,Gross domestic product,Peru,1994
53371.15385,,,PER,Gross domestic product,Peru,1995
55274.18478,,,PER,Gross domestic product,Peru,1996
58143.88489,,,PER,Gross domestic product,Peru,1997
55490.10239,,,PER,Gross domestic product,Peru,1998
50204.63054,,,PER,Gross domestic product,Peru,1999
51743.26648,,,PER,Gross domestic product,Peru,2000
52048.95205,,,PER,Gross domestic product,Peru,2001
54796.24627,,,PER,Gross domestic product,Peru,2002
58743.40622,,,PER,Gross domestic product,Peru,2003
66780.92978,,,PER,Gross domestic product,Peru,2004
76080.41446,,,PER,Gross domestic product,Peru,2005
88658.55784,,,PER,Gross domestic product,Peru,2006
102351.9063,,,PER,Gross domestic product,Peru,2007
120742.2836,,,PER,Gross domestic product,Peru,2008
121184.8123,,,PER,Gross domestic product,Peru,2009
147575.4044,,,PER,Gross domestic product,Peru,2010
171832.8842,,,PER,Gross domestic product,Peru,2011
192768.5693,,,PER,Gross domestic product,Peru,2012
201149.5643,,,PER,Gross domestic product,Peru,2013
200771.065,,,PER,Gross domestic product,Peru,2014
189722.7133,,,PER,Gross domestic product,Peru,2015
191987.4031,,,PER,Gross domestic product,Peru,2016
211057.4381,,,PER,Gross domestic product,Peru,2017
222534.6785,,,PER,Gross domestic product,Peru,2018
9688.954723,,,DOM,Gross domestic product,Dominican Republic,1990
10492.21484,,,DOM,Gross domestic product,Dominican Republic,1991
12320.933,,,DOM,Gross domestic product,Dominican Republic,1992
13872.50028,,,DOM,Gross domestic product,Dominican Republic,1993
15492.57598,,,DOM,Gross domestic product,Dominican Republic,1994
17528.90507,,,DOM,Gross domestic product,Dominican Republic,1995
19383.84037,,,DOM,Gross domestic product,Dominican Republic,1996
20946.45381,,,DOM,Gross domestic product,Dominican Republic,1997
22633.20949,,,DOM,Gross domestic product,Dominican Republic,1998
23207.83281,,,DOM,Gross domestic product,Dominican Republic,1999
25653.82479,,,DOM,Gross domestic product,Dominican Republic,2000
26614.09895,,,DOM,Gross domestic product,Dominican Republic,2001
28172.50468,,,DOM,Gross domestic product,Dominican Republic,2002
22494.53314,,,DOM,Gross domestic product,Dominican Republic,2003
23176.80648,,,DOM,Gross domestic product,Dominican Republic,2004
36008.5081,,,DOM,Gross domestic product,Dominican Republic,2005
38197.08453,,,DOM,Gross domestic product,Dominican Republic,2006
43963.65768,,,DOM,Gross domestic product,Dominican Republic,2007
48121.57087,,,DOM,Gross domestic product,Dominican Republic,2008
48254.5305,,,DOM,Gross domestic product,Dominican Republic,2009
53843.93278,,,DOM,Gross domestic product,Dominican Republic,2010
58018.12745,,,DOM,Gross domestic product,Dominican Republic,2011
60670.78103,,,DOM,Gross domestic product,Dominican Republic,2012
62658.16162,,,DOM,Gross domestic product,Dominican Republic,2013
67160.34633,,,DOM,Gross domestic product,Dominican Republic,2014
71149.21383,,,DOM,Gross domestic product,Dominican Republic,2015
75689.20559,,,DOM,Gross domestic product,Dominican Republic,2016
79977.35521,,,DOM,Gross domestic product,Dominican Republic,2017
85532.7666,,,DOM,Gross domestic product,Dominican Republic,2018
11203.78823,,,URY,Gross domestic product,Uruguay,1990
13501.90575,,,URY,Gross domestic product,Uruguay,1991
15516.40711,,,URY,Gross domestic product,Uruguay,1992
18075.52177,,,URY,Gross domestic product,Uruguay,1993
21054.48756,,,URY,Gross domestic product,Uruguay,1994
23251.04088,,,URY,Gross domestic product,Uruguay,1995
24718.31604,,,URY,Gross domestic product,Uruguay,1996
26082.79632,,,URY,Gross domestic product,Uruguay,1997
27663.93255,,,URY,Gross domestic product,Uruguay,1998
26161.72622,,,URY,Gross domestic product,Uruguay,1999
24888.19351,,,URY,Gross domestic product,Uruguay,2000
22823.82219,,,URY,Gross domestic product,Uruguay,2001
15551.10327,,,URY,Gross domestic product,Uruguay,2002
13134.5698,,,URY,Gross domestic product,Uruguay,2003
14987.69688,,,URY,Gross domestic product,Uruguay,2004
18985.59758,,,URY,Gross domestic product,Uruguay,2005
21360.09312,,,URY,Gross domestic product,Uruguay,2006
25633.53645,,,URY,Gross domestic product,Uruguay,2007
33174.74709,,,URY,Gross domestic product,Uruguay,2008
34828.23293,,,URY,Gross domestic product,Uruguay,2009
