value,source_id,notes_ids,iso3,Geographical area,Country__ESTANDAR,Sex__ESTANDAR,Years__ESTANDAR
387.549,23,,BHS,National,Bahamas,Both sexes,2015
409.634,23,,BHS,National,Bahamas,Both sexes,2020
429.836,23,,BHS,National,Bahamas,Both sexes,2025
447.41,23,,BHS,National,Bahamas,Both sexes,2030
210.995,23,,BRB,National,Barbados,Both sexes,1950
227.03,23,,BRB,National,Barbados,Both sexes,1955
230.858,23,,BRB,National,Barbados,Both sexes,1960
235.294,23,,BRB,National,Barbados,Both sexes,1965
238.616,23,,BRB,National,Barbados,Both sexes,1970
245.663,23,,BRB,National,Barbados,Both sexes,1975
248.784,23,,BRB,National,Barbados,Both sexes,1980
254.354,23,,BRB,National,Barbados,Both sexes,1985
259.336,23,,BRB,National,Barbados,Both sexes,1990
263.165,23,,BRB,National,Barbados,Both sexes,1995
267.19,23,,BRB,National,Barbados,Both sexes,2000
273.568,23,,BRB,National,Barbados,Both sexes,2005
280.396,23,,BRB,National,Barbados,Both sexes,2010
287.482,23,,BRB,National,Barbados,Both sexes,2015
294.366,23,,BRB,National,Barbados,Both sexes,2020
300.598,23,,BRB,National,Barbados,Both sexes,2025
305.709,23,,BRB,National,Barbados,Both sexes,2030
68.918,23,,BLZ,National,Belize,Both sexes,1950
79.872,23,,BLZ,National,Belize,Both sexes,1955
92.068,23,,BLZ,National,Belize,Both sexes,1960
106.121,23,,BLZ,National,Belize,Both sexes,1965
122.179,23,,BLZ,National,Belize,Both sexes,1970
133.261,23,,BLZ,National,Belize,Both sexes,1975
144.151,23,,BLZ,National,Belize,Both sexes,1980
164.916,23,,BLZ,National,Belize,Both sexes,1985
187.552,23,,BLZ,National,Belize,Both sexes,1990
206.962,23,,BLZ,National,Belize,Both sexes,1995
238.586,23,,BLZ,National,Belize,Both sexes,2000
271.92,23,,BLZ,National,Belize,Both sexes,2005
308.595,23,,BLZ,National,Belize,Both sexes,2010
347.598,23,,BLZ,National,Belize,Both sexes,2015
386.318,23,,BLZ,National,Belize,Both sexes,2020
424.293,23,,BLZ,National,Belize,Both sexes,2025
461.277,23,,BLZ,National,Belize,Both sexes,2030
4468.325,24,,BOL,National,Bolivia (Plurinational State of),Both sexes,1970
4963.479,24,,BOL,National,Bolivia (Plurinational State of),Both sexes,1975
5533.499,24,,BOL,National,Bolivia (Plurinational State of),Both sexes,1980
6149.537,24,,BOL,National,Bolivia (Plurinational State of),Both sexes,1985
6794.844,24,,BOL,National,Bolivia (Plurinational State of),Both sexes,1990
7508.481,24,,BOL,National,Bolivia (Plurinational State of),Both sexes,1995
8292.776,24,,BOL,National,Bolivia (Plurinational State of),Both sexes,2000
9096.379,24,,BOL,National,Bolivia (Plurinational State of),Both sexes,2005
9908.584,24,,BOL,National,Bolivia (Plurinational State of),Both sexes,2010
10737.266,24,,BOL,National,Bolivia (Plurinational State of),Both sexes,2015
11564.184,24,,BOL,National,Bolivia (Plurinational State of),Both sexes,2020
12367.939,24,,BOL,National,Bolivia (Plurinational State of),Both sexes,2025
13138.592,24,,BOL,National,Bolivia (Plurinational State of),Both sexes,2030
13866.25,24,,BOL,National,Bolivia (Plurinational State of),Both sexes,2035
14542.268,24,,BOL,National,Bolivia (Plurinational State of),Both sexes,2040
15157.45,24,,BOL,National,Bolivia (Plurinational State of),Both sexes,2045
15703.927,24,,BOL,National,Bolivia (Plurinational State of),Both sexes,2050
95702.961,24,,BRA,National,Brazil,Both sexes,1970
108431.462,24,,BRA,National,Brazil,Both sexes,1975
122187.852,24,,BRA,National,Brazil,Both sexes,1980
136759.583,24,,BRA,National,Brazil,Both sexes,1985
150310.243,24,,BRA,National,Brazil,Both sexes,1990
162379.49,24,,BRA,National,Brazil,Both sexes,1995
174989.181,24,,BRA,National,Brazil,Both sexes,2000
187235.396,24,,BRA,National,Brazil,Both sexes,2005
198234.948,24,,BRA,National,Brazil,Both sexes,2010
207749.81,24,,BRA,National,Brazil,Both sexes,2015
215944.549,24,,BRA,National,Brazil,Both sexes,2020
223153.062,24,,BRA,National,Brazil,Both sexes,2025
229703.861,24,,BRA,National,Brazil,Both sexes,2030
235330.033,24,,BRA,National,Brazil,Both sexes,2035
239828.666,24,,BRA,National,Brazil,Both sexes,2040
243168.173,24,,BRA,National,Brazil,Both sexes,2045
245460.888,24,,BRA,National,Brazil,Both sexes,2050
9557.548,24,,CHL,National,Chile,Both sexes,1970
10441.242,24,,CHL,National,Chile,Both sexes,1975
11281.125,24,,CHL,National,Chile,Both sexes,1980
12196.381,24,,CHL,National,Chile,Both sexes,1985
13272.469,24,,CHL,National,Chile,Both sexes,1990
14358.339,24,,CHL,National,Chile,Both sexes,1995
15348.312,24,,CHL,National,Chile,Both sexes,2000
16249.397,24,,CHL,National,Chile,Both sexes,2005
17115.565,24,,CHL,National,Chile,Both sexes,2010
17916.971,24,,CHL,National,Chile,Both sexes,2015
18621.991,24,,CHL,National,Chile,Both sexes,2020
19250.535,24,,CHL,National,Chile,Both sexes,2025
19785.083,24,,CHL,National,Chile,Both sexes,2030
20209.963,24,,CHL,National,Chile,Both sexes,2035
20522.038,24,,CHL,National,Chile,Both sexes,2040
20725.222,24,,CHL,National,Chile,Both sexes,2045
20828.161,24,,CHL,National,Chile,Both sexes,2050
22061.266,24,,COL,National,Colombia,Both sexes,1970
24757.082,24,,COL,National,Colombia,Both sexes,1975
27738.076,24,,COL,National,Colombia,Both sexes,1980
31011.862,24,,COL,National,Colombia,Both sexes,1985
34271.74,24,,COL,National,Colombia,Both sexes,1990
37442.186,24,,COL,National,Colombia,Both sexes,1995
40404.224,24,,COL,National,Colombia,Both sexes,2000
43286.104,24,,COL,National,Colombia,Both sexes,2005
45918.156,24,,COL,National,Colombia,Both sexes,2010
48228.607,24,,COL,National,Colombia,Both sexes,2015
50200.93,24,,COL,National,Colombia,Both sexes,2020
51813.271,24,,COL,National,Colombia,Both sexes,2025
53126.922,24,,COL,National,Colombia,Both sexes,2030
54160.804,24,,COL,National,Colombia,Both sexes,2035
54873.166,24,,COL,National,Colombia,Both sexes,2040
55267.358,24,,COL,National,Colombia,Both sexes,2045
55377.718,24,,COL,National,Colombia,Both sexes,2050
1848.487,24,,CRI,National,Costa Rica,Both sexes,1970
2097.034,24,,CRI,National,Costa Rica,Both sexes,1975
2385.864,24,,CRI,National,Costa Rica,Both sexes,1980
2727.561,24,,CRI,National,Costa Rica,Both sexes,1985
3098.595,24,,CRI,National,Costa Rica,Both sexes,1990
3514.648,24,,CRI,National,Costa Rica,Both sexes,1995
3932.718,24,,CRI,National,Costa Rica,Both sexes,2000
4257.644,24,,CRI,National,Costa Rica,Both sexes,2005
4555.283,24,,CRI,National,Costa Rica,Both sexes,2010
4820.782,24,,CRI,National,Costa Rica,Both sexes,2015
5052.116,24,,CRI,National,Costa Rica,Both sexes,2020
5244.052,24,,CRI,National,Costa Rica,Both sexes,2025
5396.801,24,,CRI,National,Costa Rica,Both sexes,2030
5518.86,24,,CRI,National,Costa Rica,Both sexes,2035
5609.895,24,,CRI,National,Costa Rica,Both sexes,2040
5668.529,24,,CRI,National,Costa Rica,Both sexes,2045
5693.801,24,,CRI,National,Costa Rica,Both sexes,2050
8715.756,24,,CUB,National,Cuba,Both sexes,1970
9440.81,24,,CUB,National,Cuba,Both sexes,1975
9839.835,24,,CUB,National,Cuba,Both sexes,1980
10090.488,24,,CUB,National,Cuba,Both sexes,1985
10593.221,24,,CUB,National,Cuba,Both sexes,1990
10920.906,24,,CUB,National,Cuba,Both sexes,1995
11135.778,24,,CUB,National,Cuba,Both sexes,2000
11284.488,24,,CUB,National,Cuba,Both sexes,2005
11335.53,24,,CUB,National,Cuba,Both sexes,2010
11421.59,24,,CUB,National,Cuba,Both sexes,2015
11403.083,24,,CUB,National,Cuba,Both sexes,2020
11358.284,24,,CUB,National,Cuba,Both sexes,2025
11260.114,24,,CUB,National,Cuba,Both sexes,2030
11097.166,24,,CUB,National,Cuba,Both sexes,2035
10873.47,24,,CUB,National,Cuba,Both sexes,2040
10598.627,24,,CUB,National,Cuba,Both sexes,2045
10277.252,24,,CUB,National,Cuba,Both sexes,2050
51.101,23,,DMA,National,Dominica,Both sexes,1950
54.557,23,,DMA,National,Dominica,Both sexes,1955
60.016,23,,DMA,National,Dominica,Both sexes,1960
65.038,23,,DMA,National,Dominica,Both sexes,1965
71.076,23,,DMA,National,Dominica,Both sexes,1970
72.091,23,,DMA,National,Dominica,Both sexes,1975
75.313,23,,DMA,National,Dominica,Both sexes,1980
73.64,23,,DMA,National,Dominica,Both sexes,1985
70.928,23,,DMA,National,Dominica,Both sexes,1990
71.367,23,,DMA,National,Dominica,Both sexes,1995
69.679,23,,DMA,National,Dominica,Both sexes,2000
70.542,23,,DMA,National,Dominica,Both sexes,2005
71.167,23,,DMA,National,Dominica,Both sexes,2010
72.68,23,,DMA,National,Dominica,Both sexes,2015
74.376,23,,DMA,National,Dominica,Both sexes,2020
75.994,23,,DMA,National,Dominica,Both sexes,2025
76.952,23,,DMA,National,Dominica,Both sexes,2030
6072.519,24,,ECU,National,Ecuador,Both sexes,1970
6987.387,24,,ECU,National,Ecuador,Both sexes,1975
7976.439,24,,ECU,National,Ecuador,Both sexes,1980
9045.963,24,,ECU,National,Ecuador,Both sexes,1985
10218.064,24,,ECU,National,Ecuador,Both sexes,1990
11440.573,24,,ECU,National,Ecuador,Both sexes,1995
12628.599,24,,ECU,National,Ecuador,Both sexes,2000
13735.235,24,,ECU,National,Ecuador,Both sexes,2005
14934.696,24,,ECU,National,Ecuador,Both sexes,2010
16144.346,24,,ECU,National,Ecuador,Both sexes,2015
17335.452,24,,ECU,National,Ecuador,Both sexes,2020
18477.801,24,,ECU,National,Ecuador,Both sexes,2025
19551.638,24,,ECU,National,Ecuador,Both sexes,2030
20543.797,24,,ECU,National,Ecuador,Both sexes,2035
21437.23,24,,ECU,National,Ecuador,Both sexes,2040
22222.592,24,,ECU,National,Ecuador,Both sexes,2045
22883.021,24,,ECU,National,Ecuador,Both sexes,2050
3672.034,24,,SLV,National,El Salvador,Both sexes,1970
4157.377,24,,SLV,National,El Salvador,Both sexes,1975
4595.566,24,,SLV,National,El Salvador,Both sexes,1980
4945.99,24,,SLV,National,El Salvador,Both sexes,1985
5286.597,24,,SLV,National,El Salvador,Both sexes,1990
5638.402,24,,SLV,National,El Salvador,Both sexes,1995
5885.521,24,,SLV,National,El Salvador,Both sexes,2000
6049.609,24,,SLV,National,El Salvador,Both sexes,2005
6172.482,24,,SLV,National,El Salvador,Both sexes,2010
6298.489,24,,SLV,National,El Salvador,Both sexes,2015
6425.557,24,,SLV,National,El Salvador,Both sexes,2020
6545.31,24,,SLV,National,El Salvador,Both sexes,2025
6667.694,24,,SLV,National,El Salvador,Both sexes,2030
6783.814,24,,SLV,National,El Salvador,Both sexes,2035
6889.156,24,,SLV,National,El Salvador,Both sexes,2040
6983.287,24,,SLV,National,El Salvador,Both sexes,2045
7066.237,24,,SLV,National,El Salvador,Both sexes,2050
76.676,23,,GRD,National,Grenada,Both sexes,1950
81.028,23,,GRD,National,Grenada,Both sexes,1955
89.861,23,,GRD,National,Grenada,Both sexes,1960
94.579,23,,GRD,National,Grenada,Both sexes,1965
94.43,23,,GRD,National,Grenada,Both sexes,1970
92.453,23,,GRD,National,Grenada,Both sexes,1975
89.004,23,,GRD,National,Grenada,Both sexes,1980
99.907,23,,GRD,National,Grenada,Both sexes,1985
96.286,23,,GRD,National,Grenada,Both sexes,1990
100.253,23,,GRD,National,Grenada,Both sexes,1995
101.62,23,,GRD,National,Grenada,Both sexes,2000
102.951,23,,GRD,National,Grenada,Both sexes,2005
104.677,23,,GRD,National,Grenada,Both sexes,2010
106.694,23,,GRD,National,Grenada,Both sexes,2015
108.225,23,,GRD,National,Grenada,Both sexes,2020
108.525,23,,GRD,National,Grenada,Both sexes,2025
107.433,23,,GRD,National,Grenada,Both sexes,2030
5487.968,24,,GTM,National,Guatemala,Both sexes,1970
6284.799,24,,GTM,National,Guatemala,Both sexes,1975
7076.504,24,,GTM,National,Guatemala,Both sexes,1980
7961.404,24,,GTM,National,Guatemala,Both sexes,1985
8935.562,24,,GTM,National,Guatemala,Both sexes,1990
10049.852,24,,GTM,National,Guatemala,Both sexes,1995
11284.045,24,,GTM,National,Guatemala,Both sexes,2000
12765.891,24,,GTM,National,Guatemala,Both sexes,2005
14332.614,24,,GTM,National,Guatemala,Both sexes,2010
15920.077,24,,GTM,National,Guatemala,Both sexes,2015
17432.124,24,,GTM,National,Guatemala,Both sexes,2020
18846.288,24,,GTM,National,Guatemala,Both sexes,2025
20152.988,24,,GTM,National,Guatemala,Both sexes,2030
21347.315,24,,GTM,National,Guatemala,Both sexes,2035
22421.741,24,,GTM,National,Guatemala,Both sexes,2040
23377.78,24,,GTM,National,Guatemala,Both sexes,2045
24254.428,24,,GTM,National,Guatemala,Both sexes,2050
406.562,23,,GUY,National,Guyana,Both sexes,1950
483.376,23,,GUY,National,Guyana,Both sexes,1955
560.296,23,,GUY,National,Guyana,Both sexes,1960
640.541,23,,GUY,National,Guyana,Both sexes,1965
720.816,23,,GUY,National,Guyana,Both sexes,1970
748.877,23,,GUY,National,Guyana,Both sexes,1975
776.927,23,,GUY,National,Guyana,Both sexes,1980
751.72,23,,GUY,National,Guyana,Both sexes,1985
725.043,23,,GUY,National,Guyana,Both sexes,1990
728.136,23,,GUY,National,Guyana,Both sexes,1995
744.471,23,,GUY,National,Guyana,Both sexes,2000
760.834,23,,GUY,National,Guyana,Both sexes,2005
786.126,23,,GUY,National,Guyana,Both sexes,2010
807.611,23,,GUY,National,Guyana,Both sexes,2015
825.268,23,,GUY,National,Guyana,Both sexes,2020
841.024,23,,GUY,National,Guyana,Both sexes,2025
852.67,23,,GUY,National,Guyana,Both sexes,2030
4712.593,24,,HTI,National,Haiti,Both sexes,1970
5144.108,24,,HTI,National,Haiti,Both sexes,1975
5693.876,24,,HTI,National,Haiti,Both sexes,1980
6391.191,24,,HTI,National,Haiti,Both sexes,1985
7108.558,24,,HTI,National,Haiti,Both sexes,1990
7829.869,24,,HTI,National,Haiti,Both sexes,1995
8560.001,24,,HTI,National,Haiti,Both sexes,2000
9275.289,24,,HTI,National,Haiti,Both sexes,2005
10028.098,24,,HTI,National,Haiti,Both sexes,2010
10749.642,24,,HTI,National,Haiti,Both sexes,2015
11434.251,24,,HTI,National,Haiti,Both sexes,2020
12057.594,24,,HTI,National,Haiti,Both sexes,2025
12619.585,24,,HTI,National,Haiti,Both sexes,2030
13124.235,24,,HTI,National,Haiti,Both sexes,2035
13562.225,24,,HTI,National,Haiti,Both sexes,2040
13922.689,24,,HTI,National,Haiti,Both sexes,2045
14240.508,24,,HTI,National,Haiti,Both sexes,2050
2716.6574,24,,HND,National,Honduras,Both sexes,1970
3153.2554,24,,HND,National,Honduras,Both sexes,1975
3678.2764,24,,HND,National,Honduras,Both sexes,1980
4281.1804,24,,HND,National,Honduras,Both sexes,1985
4955.3294,24,,HND,National,Honduras,Both sexes,1990
5708.1034,24,,HND,National,Honduras,Both sexes,1995
6521.4004,24,,HND,National,Honduras,Both sexes,2000
7335.4184,24,,HND,National,Honduras,Both sexes,2005
8104.9814,24,,HND,National,Honduras,Both sexes,2010
8814.0194,24,,HND,National,Honduras,Both sexes,2015
9432.1104,24,,HND,National,Honduras,Both sexes,2020
9979.9114,24,,HND,National,Honduras,Both sexes,2025
10471.8984,24,,HND,National,Honduras,Both sexes,2030
10950.4774,24,,HND,National,Honduras,Both sexes,2035
11388.6154,24,,HND,National,Honduras,Both sexes,2040
11765.1104,24,,HND,National,Honduras,Both sexes,2045
12070.7084,24,,HND,National,Honduras,Both sexes,2050
7.441,23,,VGB,National,British Virgin Islands,Both sexes,1950
7.685,23,,VGB,National,British Virgin Islands,Both sexes,1955
8.036,23,,VGB,National,British Virgin Islands,Both sexes,1960
8.813,23,,VGB,National,British Virgin Islands,Both sexes,1965
9.802,23,,VGB,National,British Virgin Islands,Both sexes,1970
10.476,23,,VGB,National,British Virgin Islands,Both sexes,1975
11.003,23,,VGB,National,British Virgin Islands,Both sexes,1980
13.308,23,,VGB,National,British Virgin Islands,Both sexes,1985
16.459,23,,VGB,National,British Virgin Islands,Both sexes,1990
18.425,23,,VGB,National,British Virgin Islands,Both sexes,1995
20.643,23,,VGB,National,British Virgin Islands,Both sexes,2000
23.169,23,,VGB,National,British Virgin Islands,Both sexes,2005
27.223,23,,VGB,National,British Virgin Islands,Both sexes,2010
28.8,23,,VGB,National,British Virgin Islands,Both sexes,2015
30.205,23,,VGB,National,British Virgin Islands,Both sexes,2020
31.413,23,,VGB,National,British Virgin Islands,Both sexes,2025
32.394,23,,VGB,National,British Virgin Islands,Both sexes,2030
26.795,23,,VIR,National,United States Virgin Islands,Both sexes,1950
29.362,23,,VIR,National,United States Virgin Islands,Both sexes,1955
32.632,23,,VIR,National,United States Virgin Islands,Both sexes,1960
49.61,23,,VIR,National,United States Virgin Islands,Both sexes,1965
64.07,23,,VIR,National,United States Virgin Islands,Both sexes,1970
85.79,23,,VIR,National,United States Virgin Islands,Both sexes,1975
98.423,23,,VIR,National,United States Virgin Islands,Both sexes,1980
104.668,23,,VIR,National,United States Virgin Islands,Both sexes,1985
103.253,23,,VIR,National,United States Virgin Islands,Both sexes,1990
107.018,23,,VIR,National,United States Virgin Islands,Both sexes,1995
108.511,23,,VIR,National,United States Virgin Islands,Both sexes,2000
107.768,23,,VIR,National,United States Virgin Islands,Both sexes,2005
106.382,23,,VIR,National,United States Virgin Islands,Both sexes,2010
106.906,23,,VIR,National,United States Virgin Islands,Both sexes,2015
106.729,23,,VIR,National,United States Virgin Islands,Both sexes,2020
106.0,23,,VIR,National,United States Virgin Islands,Both sexes,2025
104.912,23,,VIR,National,United States Virgin Islands,Both sexes,2030
1402.896,23,,JAM,National,Jamaica,Both sexes,1950
1541.71,23,,JAM,National,Jamaica,Both sexes,1955
1629.0,23,,JAM,National,Jamaica,Both sexes,1960
1760.27,23,,JAM,National,Jamaica,Both sexes,1965
1868.83,23,,JAM,National,Jamaica,Both sexes,1970
2011.97,23,,JAM,National,Jamaica,Both sexes,1975
2132.28,23,,JAM,National,Jamaica,Both sexes,1980
2297.24,23,,JAM,National,Jamaica,Both sexes,1985
2365.21,23,,JAM,National,Jamaica,Both sexes,1990
2462.05,23,,JAM,National,Jamaica,Both sexes,1995
2582.22,23,,JAM,National,Jamaica,Both sexes,2000
2682.15,23,,JAM,National,Jamaica,Both sexes,2005
2741.49,23,,JAM,National,Jamaica,Both sexes,2010
2813.28,23,,JAM,National,Jamaica,Both sexes,2015
2877.34,23,,JAM,National,Jamaica,Both sexes,2020
2925.78,23,,JAM,National,Jamaica,Both sexes,2025
2949.84,23,,JAM,National,Jamaica,Both sexes,2030
52030.118,24,,MEX,National,Mexico,Both sexes,1970
60872.805,24,,MEX,National,Mexico,Both sexes,1975
69347.331,24,,MEX,National,Mexico,Both sexes,1980
77366.776,24,,MEX,National,Mexico,Both sexes,1985
85380.637,24,,MEX,National,Mexico,Both sexes,1990
93355.67,24,,MEX,National,Mexico,Both sexes,1995
100941.398,24,,MEX,National,Mexico,Both sexes,2000
107403.727,24,,MEX,National,Mexico,Both sexes,2005
116328.932,24,,MEX,National,Mexico,Both sexes,2010
124612.397,24,,MEX,National,Mexico,Both sexes,2015
132707.645,24,,MEX,National,Mexico,Both sexes,2020
140521.426,24,,MEX,National,Mexico,Both sexes,2025
147844.027,24,,MEX,National,Mexico,Both sexes,2030
154564.345,24,,MEX,National,Mexico,Both sexes,2035
160595.059,24,,MEX,National,Mexico,Both sexes,2040
165927.621,24,,MEX,National,Mexico,Both sexes,2045
170546.39,24,,MEX,National,Mexico,Both sexes,2050
13.521,23,,MSR,National,Montserrat,Both sexes,1950
14.297,23,,MSR,National,Montserrat,Both sexes,1955
12.102,23,,MSR,National,Montserrat,Both sexes,1960
11.842,23,,MSR,National,Montserrat,Both sexes,1965
11.629,23,,MSR,National,Montserrat,Both sexes,1970
11.78,23,,MSR,National,Montserrat,Both sexes,1975
11.919,23,,MSR,National,Montserrat,Both sexes,1980
11.325,23,,MSR,National,Montserrat,Both sexes,1985
10.734,23,,MSR,National,Montserrat,Both sexes,1990
10.232,23,,MSR,National,Montserrat,Both sexes,1995
4.956,23,,MSR,National,Montserrat,Both sexes,2000
4.777,23,,MSR,National,Montserrat,Both sexes,2005
4.953,23,,MSR,National,Montserrat,Both sexes,2010
5.176,23,,MSR,National,Montserrat,Both sexes,2015
5.347,23,,MSR,National,Montserrat,Both sexes,2020
5.492,23,,MSR,National,Montserrat,Both sexes,2025
5.62,23,,MSR,National,Montserrat,Both sexes,2030
2398.09,24,,NIC,National,Nicaragua,Both sexes,1970
2796.7,24,,NIC,National,Nicaragua,Both sexes,1975
3249.859,24,,NIC,National,Nicaragua,Both sexes,1980
3709.102,24,,NIC,National,Nicaragua,Both sexes,1985
4144.649,24,,NIC,National,Nicaragua,Both sexes,1990
4612.301,24,,NIC,National,Nicaragua,Both sexes,1995
5026.867,24,,NIC,National,Nicaragua,Both sexes,2000
5379.522,24,,NIC,National,Nicaragua,Both sexes,2005
5739.403,24,,NIC,National,Nicaragua,Both sexes,2010
6085.528,24,,NIC,National,Nicaragua,Both sexes,2015
6410.301,24,,NIC,National,Nicaragua,Both sexes,2020
6707.019,24,,NIC,National,Nicaragua,Both sexes,2025
6969.49,24,,NIC,National,Nicaragua,Both sexes,2030
7192.511,24,,NIC,National,Nicaragua,Both sexes,2035
7386.084,24,,NIC,National,Nicaragua,Both sexes,2040
7547.752,24,,NIC,National,Nicaragua,Both sexes,2045
7666.648,24,,NIC,National,Nicaragua,Both sexes,2050
1519.285,24,,PAN,National,Panama,Both sexes,1970
1745.201,24,,PAN,National,Panama,Both sexes,1975
1978.562,24,,PAN,National,Panama,Both sexes,1980
2219.254,24,,PAN,National,Panama,Both sexes,1985
2470.99,24,,PAN,National,Panama,Both sexes,1990
2738.106,24,,PAN,National,Panama,Both sexes,1995
3028.739,24,,PAN,National,Panama,Both sexes,2000
3319.275,24,,PAN,National,Panama,Both sexes,2005
3620.477,24,,PAN,National,Panama,Both sexes,2010
3929.105,24,,PAN,National,Panama,Both sexes,2015
4240.295,24,,PAN,National,Panama,Both sexes,2020
4544.816,24,,PAN,National,Panama,Both sexes,2025
4833.947,24,,PAN,National,Panama,Both sexes,2030
5104.051,24,,PAN,National,Panama,Both sexes,2035
5354.159,24,,PAN,National,Panama,Both sexes,2040
5581.27,24,,PAN,National,Panama,Both sexes,2045
5784.186,24,,PAN,National,Panama,Both sexes,2050
2474.102,24,,PRY,National,Paraguay,Both sexes,1970
2790.957,24,,PRY,National,Paraguay,Both sexes,1975
3180.609,24,,PRY,National,Paraguay,Both sexes,1980
3671.799,24,,PRY,National,Paraguay,Both sexes,1985
4213.708,24,,PRY,National,Paraguay,Both sexes,1990
4760.817,24,,PRY,National,Paraguay,Both sexes,1995
5302.664,24,,PRY,National,Paraguay,Both sexes,2000
