value,source_id,notes_ids,iso3,Country__ESTANDAR,Years__ESTANDAR,Sex,Name of non-communicable disease,Reporting Type
4464.0,5397,,CHL,Chile,2019,Both sexes,Diabetes,Global
28477.0,5397,,CHL,Chile,2019,Both sexes,Cardiovascular disease,Global
14748.0,5397,,CHL,Chile,2019,Male,Cancer,Global
2183.0,5397,,CHL,Chile,2019,Male,Diabetes,Global
14408.0,5397,,CHL,Chile,2019,Male,Cardiovascular disease,Global
4245.0,5397,,CHL,Chile,2019,Female,Chronic respiratory disease,Global
13210.0,5397,,CHL,Chile,2019,Female,Cancer,Global
14069.0,5397,,CHL,Chile,2019,Female,Cardiovascular disease,Global
2281.0,5397,,CHL,Chile,2019,Female,Diabetes,Global
27958.0,5397,,CHL,Chile,2019,Both sexes,Cancer,Global
4128.0,5397,,CHL,Chile,2019,Male,Chronic respiratory disease,Global
8373.0,5397,,CHL,Chile,2019,Both sexes,Chronic respiratory disease,Global
16328.0,5397,,CUB,Cuba,2000,Male,Cardiovascular disease,Global
498.0,5397,,CUB,Cuba,2000,Male,Diabetes,Global
9450.0,5397,,CUB,Cuba,2000,Male,Cancer,Global
2540.0,5397,,CUB,Cuba,2000,Male,Chronic respiratory disease,Global
1001.0,5397,,CUB,Cuba,2000,Female,Diabetes,Global
14696.0,5397,,CUB,Cuba,2000,Female,Cardiovascular disease,Global
7093.0,5397,,CUB,Cuba,2000,Female,Cancer,Global
2100.0,5397,,CUB,Cuba,2000,Female,Chronic respiratory disease,Global
1499.0,5397,,CUB,Cuba,2000,Both sexes,Diabetes,Global
31025.0,5397,,CUB,Cuba,2000,Both sexes,Cardiovascular disease,Global
16544.0,5397,,CUB,Cuba,2000,Both sexes,Cancer,Global
4641.0,5397,,CUB,Cuba,2000,Both sexes,Chronic respiratory disease,Global
19335.0,5397,,CUB,Cuba,2005,Both sexes,Cancer,Global
33660.0,5397,,CUB,Cuba,2005,Both sexes,Cardiovascular disease,Global
696.0,5397,,CUB,Cuba,2005,Male,Diabetes,Global
2580.0,5397,,CUB,Cuba,2005,Male,Chronic respiratory disease,Global
16315.0,5397,,CUB,Cuba,2005,Female,Cardiovascular disease,Global
8155.0,5397,,CUB,Cuba,2005,Female,Cancer,Global
1341.0,5397,,CUB,Cuba,2005,Female,Diabetes,Global
2121.0,5397,,CUB,Cuba,2005,Female,Chronic respiratory disease,Global
2036.0,5397,,CUB,Cuba,2005,Both sexes,Diabetes,Global
4700.0,5397,,CUB,Cuba,2005,Both sexes,Chronic respiratory disease,Global
17345.0,5397,,CUB,Cuba,2005,Male,Cardiovascular disease,Global
11180.0,5397,,CUB,Cuba,2005,Male,Cancer,Global
18599.0,5397,,CUB,Cuba,2010,Male,Cardiovascular disease,Global
1025.0,5397,,CUB,Cuba,2010,Male,Diabetes,Global
2567.0,5397,,CUB,Cuba,2010,Male,Chronic respiratory disease,Global
17181.0,5397,,CUB,Cuba,2010,Female,Cardiovascular disease,Global
1673.0,5397,,CUB,Cuba,2010,Female,Diabetes,Global
2092.0,5397,,CUB,Cuba,2010,Female,Chronic respiratory disease,Global
35781.0,5397,,CUB,Cuba,2010,Both sexes,Cardiovascular disease,Global
4659.0,5397,,CUB,Cuba,2010,Both sexes,Chronic respiratory disease,Global
2698.0,5397,,CUB,Cuba,2010,Both sexes,Diabetes,Global
22478.0,5397,,CUB,Cuba,2010,Both sexes,Cancer,Global
9543.0,5397,,CUB,Cuba,2010,Female,Cancer,Global
12935.0,5397,,CUB,Cuba,2010,Male,Cancer,Global
2366.0,5397,,CUB,Cuba,2015,Both sexes,Diabetes,Global
5567.0,5397,,CUB,Cuba,2015,Both sexes,Chronic respiratory disease,Global
36341.0,5397,,CUB,Cuba,2015,Both sexes,Cardiovascular disease,Global
24528.0,5397,,CUB,Cuba,2015,Both sexes,Cancer,Global
2593.0,5397,,CUB,Cuba,2015,Female,Chronic respiratory disease,Global
14323.0,5397,,CUB,Cuba,2015,Male,Cancer,Global
958.0,5397,,CUB,Cuba,2015,Male,Diabetes,Global
2974.0,5397,,CUB,Cuba,2015,Male,Chronic respiratory disease,Global
18848.0,5397,,CUB,Cuba,2015,Male,Cardiovascular disease,Global
10205.0,5397,,CUB,Cuba,2015,Female,Cancer,Global
1409.0,5397,,CUB,Cuba,2015,Female,Diabetes,Global
17493.0,5397,,CUB,Cuba,2015,Female,Cardiovascular disease,Global
40556.0,5397,,CUB,Cuba,2019,Both sexes,Cardiovascular disease,Global
15249.0,5397,,CUB,Cuba,2019,Male,Cancer,Global
21387.0,5397,,CUB,Cuba,2019,Male,Cardiovascular disease,Global
10926.0,5397,,CUB,Cuba,2019,Female,Cancer,Global
19170.0,5397,,CUB,Cuba,2019,Female,Cardiovascular disease,Global
1490.0,5397,,CUB,Cuba,2019,Female,Diabetes,Global
2892.0,5397,,CUB,Cuba,2019,Female,Chronic respiratory disease,Global
2542.0,5397,,CUB,Cuba,2019,Both sexes,Diabetes,Global
3415.0,5397,,CUB,Cuba,2019,Male,Chronic respiratory disease,Global
26175.0,5397,,CUB,Cuba,2019,Both sexes,Cancer,Global
6308.0,5397,,CUB,Cuba,2019,Both sexes,Chronic respiratory disease,Global
1052.0,5397,,CUB,Cuba,2019,Male,Diabetes,Global
265.0,5397,,GRD,Grenada,2000,Both sexes,Cardiovascular disease,Global
79.0,5397,,GRD,Grenada,2000,Both sexes,Diabetes,Global
135.0,5397,,GRD,Grenada,2000,Both sexes,Cancer,Global
46.0,5397,,GRD,Grenada,2000,Both sexes,Chronic respiratory disease,Global
17.0,5397,,GRD,Grenada,2000,Female,Chronic respiratory disease,Global
114.0,5397,,GRD,Grenada,2000,Female,Cardiovascular disease,Global
43.0,5397,,GRD,Grenada,2000,Female,Diabetes,Global
48.0,5397,,GRD,Grenada,2000,Female,Cancer,Global
36.0,5397,,GRD,Grenada,2000,Male,Diabetes,Global
29.0,5397,,GRD,Grenada,2000,Male,Chronic respiratory disease,Global
87.0,5397,,GRD,Grenada,2000,Male,Cancer,Global
150.0,5397,,GRD,Grenada,2000,Male,Cardiovascular disease,Global
308.0,5397,,GRD,Grenada,2005,Both sexes,Cardiovascular disease,Global
79.0,5397,,GRD,Grenada,2005,Both sexes,Diabetes,Global
174.0,5397,,GRD,Grenada,2005,Both sexes,Cancer,Global
40.0,5397,,GRD,Grenada,2005,Both sexes,Chronic respiratory disease,Global
39.0,5397,,GRD,Grenada,2005,Female,Diabetes,Global
58.0,5397,,GRD,Grenada,2005,Female,Cancer,Global
128.0,5397,,GRD,Grenada,2005,Female,Cardiovascular disease,Global
14.0,5397,,GRD,Grenada,2005,Female,Chronic respiratory disease,Global
116.0,5397,,GRD,Grenada,2005,Male,Cancer,Global
180.0,5397,,GRD,Grenada,2005,Male,Cardiovascular disease,Global
39.0,5397,,GRD,Grenada,2005,Male,Diabetes,Global
26.0,5397,,GRD,Grenada,2005,Male,Chronic respiratory disease,Global
43.0,5397,,GRD,Grenada,2010,Both sexes,Chronic respiratory disease,Global
359.0,5397,,GRD,Grenada,2010,Both sexes,Cardiovascular disease,Global
233.0,5397,,GRD,Grenada,2010,Both sexes,Cancer,Global
84.0,5397,,GRD,Grenada,2010,Female,Cancer,Global
149.0,5397,,GRD,Grenada,2010,Female,Cardiovascular disease,Global
11.0,5397,,GRD,Grenada,2010,Female,Chronic respiratory disease,Global
69.0,5397,,GRD,Grenada,2010,Female,Diabetes,Global
210.0,5397,,GRD,Grenada,2010,Male,Cardiovascular disease,Global
55.0,5397,,GRD,Grenada,2010,Male,Diabetes,Global
32.0,5397,,GRD,Grenada,2010,Male,Chronic respiratory disease,Global
149.0,5397,,GRD,Grenada,2010,Male,Cancer,Global
124.0,5397,,GRD,Grenada,2010,Both sexes,Diabetes,Global
194.0,5397,,GRD,Grenada,2015,Both sexes,Cancer,Global
27.0,5397,,GRD,Grenada,2015,Both sexes,Chronic respiratory disease,Global
106.0,5397,,GRD,Grenada,2015,Both sexes,Diabetes,Global
323.0,5397,,GRD,Grenada,2015,Both sexes,Cardiovascular disease,Global
160.0,5397,,GRD,Grenada,2015,Female,Cardiovascular disease,Global
58.0,5397,,GRD,Grenada,2015,Female,Diabetes,Global
12.0,5397,,GRD,Grenada,2015,Female,Chronic respiratory disease,Global
86.0,5397,,GRD,Grenada,2015,Female,Cancer,Global
164.0,5397,,GRD,Grenada,2015,Male,Cardiovascular disease,Global
108.0,5397,,GRD,Grenada,2015,Male,Cancer,Global
15.0,5397,,GRD,Grenada,2015,Male,Chronic respiratory disease,Global
48.0,5397,,GRD,Grenada,2015,Male,Diabetes,Global
207.0,5397,,GRD,Grenada,2019,Both sexes,Cancer,Global
331.0,5397,,GRD,Grenada,2019,Both sexes,Cardiovascular disease,Global
110.0,5397,,GRD,Grenada,2019,Both sexes,Diabetes,Global
27.0,5397,,GRD,Grenada,2019,Both sexes,Chronic respiratory disease,Global
159.0,5397,,GRD,Grenada,2019,Female,Cardiovascular disease,Global
92.0,5397,,GRD,Grenada,2019,Female,Cancer,Global
12.0,5397,,GRD,Grenada,2019,Female,Chronic respiratory disease,Global
57.0,5397,,GRD,Grenada,2019,Female,Diabetes,Global
15.0,5397,,GRD,Grenada,2019,Male,Chronic respiratory disease,Global
115.0,5397,,GRD,Grenada,2019,Male,Cancer,Global
172.0,5397,,GRD,Grenada,2019,Male,Cardiovascular disease,Global
53.0,5397,,GRD,Grenada,2019,Male,Diabetes,Global
791.0,5397,,DOM,Dominican Republic,2000,Both sexes,Chronic respiratory disease,Global
8997.0,5397,,DOM,Dominican Republic,2000,Both sexes,Cardiovascular disease,Global
2501.0,5397,,DOM,Dominican Republic,2000,Male,Cancer,Global
5433.0,5397,,DOM,Dominican Republic,2000,Male,Cardiovascular disease,Global
557.0,5397,,DOM,Dominican Republic,2000,Female,Diabetes,Global
319.0,5397,,DOM,Dominican Republic,2000,Female,Chronic respiratory disease,Global
2203.0,5397,,DOM,Dominican Republic,2000,Female,Cancer,Global
3564.0,5397,,DOM,Dominican Republic,2000,Female,Cardiovascular disease,Global
1206.0,5397,,DOM,Dominican Republic,2000,Both sexes,Diabetes,Global
4704.0,5397,,DOM,Dominican Republic,2000,Both sexes,Cancer,Global
649.0,5397,,DOM,Dominican Republic,2000,Male,Diabetes,Global
472.0,5397,,DOM,Dominican Republic,2000,Male,Chronic respiratory disease,Global
860.0,5397,,DOM,Dominican Republic,2005,Male,Diabetes,Global
6952.0,5397,,DOM,Dominican Republic,2005,Male,Cardiovascular disease,Global
3316.0,5397,,DOM,Dominican Republic,2005,Male,Cancer,Global
440.0,5397,,DOM,Dominican Republic,2005,Female,Chronic respiratory disease,Global
3127.0,5397,,DOM,Dominican Republic,2005,Female,Cancer,Global
5465.0,5397,,DOM,Dominican Republic,2005,Female,Cardiovascular disease,Global
12417.0,5397,,DOM,Dominican Republic,2005,Both sexes,Cardiovascular disease,Global
1719.0,5397,,DOM,Dominican Republic,2005,Both sexes,Diabetes,Global
1041.0,5397,,DOM,Dominican Republic,2005,Both sexes,Chronic respiratory disease,Global
6443.0,5397,,DOM,Dominican Republic,2005,Both sexes,Cancer,Global
600.0,5397,,DOM,Dominican Republic,2005,Male,Chronic respiratory disease,Global
858.0,5397,,DOM,Dominican Republic,2005,Female,Diabetes,Global
3716.0,5397,,DOM,Dominican Republic,2010,Female,Cancer,Global
1092.0,5397,,DOM,Dominican Republic,2010,Female,Diabetes,Global
738.0,5397,,DOM,Dominican Republic,2010,Male,Chronic respiratory disease,Global
1100.0,5397,,DOM,Dominican Republic,2010,Male,Diabetes,Global
9241.0,5397,,DOM,Dominican Republic,2010,Male,Cardiovascular disease,Global
3784.0,5397,,DOM,Dominican Republic,2010,Male,Cancer,Global
562.0,5397,,DOM,Dominican Republic,2010,Female,Chronic respiratory disease,Global
7618.0,5397,,DOM,Dominican Republic,2010,Female,Cardiovascular disease,Global
2192.0,5397,,DOM,Dominican Republic,2010,Both sexes,Diabetes,Global
16860.0,5397,,DOM,Dominican Republic,2010,Both sexes,Cardiovascular disease,Global
1300.0,5397,,DOM,Dominican Republic,2010,Both sexes,Chronic respiratory disease,Global
7500.0,5397,,DOM,Dominican Republic,2010,Both sexes,Cancer,Global
25750.0,5397,,DOM,Dominican Republic,2015,Both sexes,Cardiovascular disease,Global
9842.0,5397,,DOM,Dominican Republic,2015,Both sexes,Cancer,Global
1775.0,5397,,DOM,Dominican Republic,2015,Male,Diabetes,Global
1067.0,5397,,DOM,Dominican Republic,2015,Male,Chronic respiratory disease,Global
1591.0,5397,,DOM,Dominican Republic,2015,Female,Diabetes,Global
11247.0,5397,,DOM,Dominican Republic,2015,Female,Cardiovascular disease,Global
4777.0,5397,,DOM,Dominican Republic,2015,Female,Cancer,Global
792.0,5397,,DOM,Dominican Republic,2015,Female,Chronic respiratory disease,Global
1859.0,5397,,DOM,Dominican Republic,2015,Both sexes,Chronic respiratory disease,Global
5065.0,5397,,DOM,Dominican Republic,2015,Male,Cancer,Global
14503.0,5397,,DOM,Dominican Republic,2015,Male,Cardiovascular disease,Global
3366.0,5397,,DOM,Dominican Republic,2015,Both sexes,Diabetes,Global
863.0,5397,,DOM,Dominican Republic,2019,Female,Chronic respiratory disease,Global
5176.0,5397,,DOM,Dominican Republic,2019,Female,Cancer,Global
1711.0,5397,,DOM,Dominican Republic,2019,Female,Diabetes,Global
3411.0,5397,,DOM,Dominican Republic,2019,Both sexes,Diabetes,Global
26526.0,5397,,DOM,Dominican Republic,2019,Both sexes,Cardiovascular disease,Global
1889.0,5397,,DOM,Dominican Republic,2019,Both sexes,Chronic respiratory disease,Global
10715.0,5397,,DOM,Dominican Republic,2019,Both sexes,Cancer,Global
1026.0,5397,,DOM,Dominican Republic,2019,Male,Chronic respiratory disease,Global
5540.0,5397,,DOM,Dominican Republic,2019,Male,Cancer,Global
1700.0,5397,,DOM,Dominican Republic,2019,Male,Diabetes,Global
14144.0,5397,,DOM,Dominican Republic,2019,Male,Cardiovascular disease,Global
12382.0,5397,,DOM,Dominican Republic,2019,Female,Cardiovascular disease,Global
57308.0,5397,,ARG,Argentina,2000,Both sexes,Cancer,Global
9487.0,5397,,ARG,Argentina,2000,Both sexes,Diabetes,Global
4827.0,5397,,ARG,Argentina,2000,Male,Diabetes,Global
4660.0,5397,,ARG,Argentina,2000,Female,Diabetes,Global
16410.0,5397,,ARG,Argentina,2000,Male,Chronic respiratory disease,Global
14409.0,5397,,ARG,Argentina,2000,Female,Chronic respiratory disease,Global
25952.0,5397,,ARG,Argentina,2000,Female,Cancer,Global
90015.0,5397,,ARG,Argentina,2000,Both sexes,Cardiovascular disease,Global
30818.0,5397,,ARG,Argentina,2000,Both sexes,Chronic respiratory disease,Global
42963.0,5397,,ARG,Argentina,2000,Female,Cardiovascular disease,Global
31357.0,5397,,ARG,Argentina,2000,Male,Cancer,Global
47052.0,5397,,ARG,Argentina,2000,Male,Cardiovascular disease,Global
28009.0,5397,,ARG,Argentina,2005,Female,Cancer,Global
43896.0,5397,,ARG,Argentina,2005,Female,Cardiovascular disease,Global
4792.0,5397,,ARG,Argentina,2005,Female,Diabetes,Global
16978.0,5397,,ARG,Argentina,2005,Female,Chronic respiratory disease,Global
9665.0,5397,,ARG,Argentina,2005,Both sexes,Diabetes,Global
88978.0,5397,,ARG,Argentina,2005,Both sexes,Cardiovascular disease,Global
34946.0,5397,,ARG,Argentina,2005,Both sexes,Chronic respiratory disease,Global
60837.0,5397,,ARG,Argentina,2005,Both sexes,Cancer,Global
